Quarter ID,Quarter,State ID,State,Investment
20233,2023-Q3,1,Aguascalientes,384.89921360462904
20234,2023-Q4,1,Aguascalientes,-213.2684326171875
20241,2024-Q1,1,Aguascalientes,190.02593994140625
20242,2024-Q2,1,Aguascalientes,369.1606750488281
20243,2024-Q3,1,Aguascalientes,328.8070640563965
20244,2024-Q4,1,Aguascalientes,105.07372093200684
19991,1999-Q1,2,Baja California,335.9260492324829
19992,1999-Q2,2,Baja California,296.70478916168213
19993,1999-Q3,2,Baja California,266.00874185562134
19994,1999-Q4,2,Baja California,340.07460498809814
20001,2000-Q1,2,Baja California,256.208890914917
20002,2000-Q2,2,Baja California,263.9097685813904
20003,2000-Q3,2,Baja California,230.59614849090576
20004,2000-Q4,2,Baja California,303.47403144836426
20011,2001-Q1,2,Baja California,243.27245712280273
20012,2001-Q2,2,Baja California,265.4271488189697
20013,2001-Q3,2,Baja California,530.6040191650391
20014,2001-Q4,2,Baja California,286.7826385498047
20021,2002-Q1,2,Baja California,227.32393074035645
20022,2002-Q2,2,Baja California,546.6266431808472
20023,2002-Q3,2,Baja California,477.07427978515625
20024,2002-Q4,2,Baja California,284.09994411468506
20031,2003-Q1,2,Baja California,244.72831916809082
20032,2003-Q2,2,Baja California,232.95656204223633
20033,2003-Q3,2,Baja California,194.27808809280396
20034,2003-Q4,2,Baja California,412.80289363861084
20041,2004-Q1,2,Baja California,425.6346206665039
20042,2004-Q2,2,Baja California,312.85880279541016
20043,2004-Q3,2,Baja California,295.52551317214966
20044,2004-Q4,2,Baja California,331.59669733047485
20051,2005-Q1,2,Baja California,415.92982482910156
20052,2005-Q2,2,Baja California,296.2488422393799
20053,2005-Q3,2,Baja California,301.81577360630035
20054,2005-Q4,2,Baja California,320.9420371055603
20061,2006-Q1,2,Baja California,305.0466537475586
20062,2006-Q2,2,Baja California,314.4206008911133
20063,2006-Q3,2,Baja California,328.0675222873688
20064,2006-Q4,2,Baja California,393.1568374633789
20071,2007-Q1,2,Baja California,488.4197006225586
20072,2007-Q2,2,Baja California,261.01945877075195
20073,2007-Q3,2,Baja California,867.3133225440979
20074,2007-Q4,2,Baja California,174.07671546936035
20081,2008-Q1,2,Baja California,324.30171966552734
20082,2008-Q2,2,Baja California,566.6320343017578
20083,2008-Q3,2,Baja California,316.0340394973755
20084,2008-Q4,2,Baja California,247.1728973388672
20091,2009-Q1,2,Baja California,325.8253469467163
20092,2009-Q2,2,Baja California,165.0841178894043
20093,2009-Q3,2,Baja California,174.03436470031738
20094,2009-Q4,2,Baja California,164.57936668395996
20101,2010-Q1,2,Baja California,358.076623916626
20102,2010-Q2,2,Baja California,517.6124229431152
20103,2010-Q3,2,Baja California,250.45592403411865
20104,2010-Q4,2,Baja California,288.6779704093933
20111,2011-Q1,2,Baja California,60.904489517211914
20112,2011-Q2,2,Baja California,231.67442226409912
20113,2011-Q3,2,Baja California,295.0855255126953
20114,2011-Q4,2,Baja California,178.65789222717285
20121,2012-Q1,2,Baja California,327.0404782295227
20122,2012-Q2,2,Baja California,76.61348724365234
