id_estado,estado,indicador,indicador_nombre,año,valor
03,Baja California Sur,1005000038,Promedio escolaridad,1995,
03,Baja California Sur,1005000038,Promedio escolaridad,2000,8.30000000000000000000
03,Baja California Sur,1005000038,Promedio escolaridad,2005,8.90000000000000000000
03,Baja California Sur,1005000038,Promedio escolaridad,2010,9.40000000000000000000
03,Baja California Sur,1005000038,Promedio escolaridad,2015,9.90553523078439000000
03,Baja California Sur,1005000038,Promedio escolaridad,2020,10.34254848873690000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1910,
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1921,27.70000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1930,39.50000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1940,31.80000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1950,22.70000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1960,15.50000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1970,13.50000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1980,7.50000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1990,5.40000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,1995,4.90000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,2000,4.20000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,2005,3.60000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,2010,3.21000000000000000000
03,Baja California Sur,3108001001,Porcentaje analfabetismo,2015,2.48734299664970000000
03,Baja California Sur,6200205239,Poblacion con educacion basica,2000,166359.00000000000000000000
03,Baja California Sur,6200205239,Poblacion con educacion basica,2010,234542.00000000000000000000
03,Baja California Sur,6200205241,Poblacion con bachillerato,1990,19190.00000000000000000000
03,Baja California Sur,6200205241,Poblacion con bachillerato,2000,41002.00000000000000000000
03,Baja California Sur,6200205241,Poblacion con bachillerato,2010,81595.00000000000000000000
03,Baja California Sur,6200205242,Poblacion con estudios superiores,1990,13057.00000000000000000000
03,Baja California Sur,6200205242,Poblacion con estudios superiores,2000,26822.00000000000000000000
03,Baja California Sur,6200205242,Poblacion con estudios superiores,2010,70311.00000000000000000000
03,Baja California Sur,6207019020,Porcentaje sin escolaridad,2015,3.26294960000000000000
03,Baja California Sur,6207019020,Porcentaje sin escolaridad,2020,2.94083192759793000000
04,Campeche,1004000001,Derechohabientes,2000,265189.00000000000000000000
04,Campeche,1004000001,Derechohabientes,2005,439987.00000000000000000000
04,Campeche,1004000001,Derechohabientes,2010,631406.00000000000000000000
04,Campeche,1004000001,Derechohabientes,2020,719677.00000000000000000000
04,Campeche,1005000038,Promedio escolaridad,1995,
04,Campeche,1005000038,Promedio escolaridad,2000,7.00000000000000000000
04,Campeche,1005000038,Promedio escolaridad,2005,7.90000000000000000000
04,Campeche,1005000038,Promedio escolaridad,2010,8.51000000000000000000
04,Campeche,1005000038,Promedio escolaridad,2015,9.13845446041069000000
04,Campeche,1005000038,Promedio escolaridad,2020,9.62513019267048000000
04,Campeche,3108001001,Porcentaje analfabetismo,1910,66.40000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1921,56.20000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1930,59.10000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1940,47.60000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1950,37.90000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1960,30.20000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1970,25.30000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1980,17.00000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1990,15.40000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,1995,13.80000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,2000,11.80000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,2005,10.20000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,2010,8.31000000000000000000
04,Campeche,3108001001,Porcentaje analfabetismo,2015,6.64990964048840000000
04,Campeche,6200205239,Poblacion con educacion basica,2000,271727.00000000000000000000
