State,Quarter,Remittance Amount
Veracruz de Ignacio de la Llave,2021-Q1,414639026
Veracruz de Ignacio de la Llave,2021-Q2,525557021
Veracruz de Ignacio de la Llave,2021-Q3,564951734
Veracruz de Ignacio de la Llave,2021-Q4,574280918
Veracruz de Ignacio de la Llave,2022-Q1,489192276
Veracruz de Ignacio de la Llave,2022-Q2,601533489
Veracruz de Ignacio de la Llave,2022-Q3,640889486
Veracruz de Ignacio de la Llave,2022-Q4,635827905
Veracruz de Ignacio de la Llave,2023-Q1,561975095
Veracruz de Ignacio de la Llave,2023-Q2,677411635
Veracruz de Ignacio de la Llave,2023-Q3,698752549
Veracruz de Ignacio de la Llave,2023-Q4,635669754
Veracruz de Ignacio de la Llave,2024-Q1,545067922
Veracruz de Ignacio de la Llave,2024-Q2,695882650
Veracruz de Ignacio de la Llave,2024-Q3,695706891
Veracruz de Ignacio de la Llave,2024-Q4,666027531
Veracruz de Ignacio de la Llave,2025-Q1,594452510
Veracruz de Ignacio de la Llave,2025-Q2,658599741
Yucatán,2013-Q1,31041702
Yucatán,2013-Q2,35071658
Yucatán,2013-Q3,32928127
Yucatán,2013-Q4,31021075
Yucatán,2014-Q1,31628666
Yucatán,2014-Q2,34085123
Yucatán,2014-Q3,34384917
Yucatán,2014-Q4,33483153
Yucatán,2015-Q1,33356652
Yucatán,2015-Q2,40499288
Yucatán,2015-Q3,35867897
Yucatán,2015-Q4,33809898
Yucatán,2016-Q1,33548852
Yucatán,2016-Q2,37411072
Yucatán,2016-Q3,38040414
Yucatán,2016-Q4,37444470
Yucatán,2017-Q1,42215361
Yucatán,2017-Q2,46334199
Yucatán,2017-Q3,47921602
Yucatán,2017-Q4,48147200
Yucatán,2018-Q1,45136654
Yucatán,2018-Q2,53920554
Yucatán,2018-Q3,53275639
Yucatán,2018-Q4,54626429
Yucatán,2019-Q1,49551909
Yucatán,2019-Q2,58144454
Yucatán,2019-Q3,60952605
Yucatán,2019-Q4,58873210
Yucatán,2020-Q1,60089372
Yucatán,2020-Q2,46784875
Yucatán,2020-Q3,76962030
Yucatán,2020-Q4,67903296
Yucatán,2021-Q1,67885268
Yucatán,2021-Q2,86144320
Yucatán,2021-Q3,91509202
Yucatán,2021-Q4,96352414
Yucatán,2022-Q1,85414799
Yucatán,2022-Q2,98772550
Yucatán,2022-Q3,104914645
Yucatán,2022-Q4,107540449
Yucatán,2023-Q1,98643757
Yucatán,2023-Q2,109597933
Yucatán,2023-Q3,117227597
Yucatán,2023-Q4,108791976
Yucatán,2024-Q1,104364202
Yucatán,2024-Q2,118084470
Yucatán,2024-Q3,118259946
Yucatán,2024-Q4,113263024
Yucatán,2025-Q1,107702572
Yucatán,2025-Q2,113921143
Zacatecas,2013-Q1,146941335
Zacatecas,2013-Q2,181733666
Zacatecas,2013-Q3,169192323
Zacatecas,2013-Q4,159415396
Zacatecas,2014-Q1,162198591
Zacatecas,2014-Q2,186313878
Zacatecas,2014-Q3,185483384
Zacatecas,2014-Q4,190193681
Zacatecas,2015-Q1,180227617
Zacatecas,2015-Q2,190523992
Zacatecas,2015-Q3,210318980
Zacatecas,2015-Q4,195417216
Zacatecas,2016-Q1,198881513
Zacatecas,2016-Q2,234512393
Zacatecas,2016-Q3,235660702
Zacatecas,2016-Q4,233993377
Zacatecas,2017-Q1,229825567
Zacatecas,2017-Q2,268234871
Zacatecas,2017-Q3,268589428
Zacatecas,2017-Q4,268810213
Zacatecas,2018-Q1,234663961
Zacatecas,2018-Q2,313498429
Zacatecas,2018-Q3,287981494
Zacatecas,2018-Q4,292901549
Zacatecas,2019-Q1,249819957
Zacatecas,2019-Q2,303288715
Zacatecas,2019-Q3,316113048
Zacatecas,2019-Q4,290710474
Zacatecas,2020-Q1,300138186
Zacatecas,2020-Q2,315106684
Zacatecas,2020-Q3,309892710
Zacatecas,2020-Q4,316995601
Zacatecas,2021-Q1,333662177
Zacatecas,2021-Q2,424103951
Zacatecas,2021-Q3,425202601
Zacatecas,2021-Q4,428999573
Zacatecas,2022-Q1,362265829
Zacatecas,2022-Q2,451915511
Zacatecas,2022-Q3,472633575
Zacatecas,2022-Q4,457308254
Zacatecas,2023-Q1,394008700
Zacatecas,2023-Q2,474030377
Zacatecas,2023-Q3,488014391
Zacatecas,2023-Q4,460194688
Zacatecas,2024-Q1,398459555
Zacatecas,2024-Q2,501642708
Zacatecas,2024-Q3,516085521
Zacatecas,2024-Q4,490549548
Zacatecas,2025-Q1,420216835
Zacatecas,2025-Q2,482215933
