anio,id_estado,estado,gini
2010,1,Aguascalientes,0.5074079036712646
2012,1,Aguascalientes,0.47919121384620667
2014,1,Aguascalientes,0.4862937331199646
2016,1,Aguascalientes,0.40907400846481323
2018,1,Aguascalientes,0.42022275924682617
2020,1,Aguascalientes,0.39506322145462036
2022,1,Aguascalientes,0.42921414971351624
2010,2,Baja California,0.5058268904685974
2012,2,Baja California,0.46453768014907837
2014,2,Baja California,0.4335683286190033
2016,2,Baja California,0.42444202303886414
2018,2,Baja California,0.39077281951904297
2020,2,Baja California,0.42119088768959045
2022,2,Baja California,0.3835499882698059
2010,3,Baja California Sur,0.4852607548236847
2012,3,Baja California Sur,0.492758184671402
2014,3,Baja California Sur,0.4542696177959442
2016,3,Baja California Sur,0.43112969398498535
2018,3,Baja California Sur,0.42071905732154846
2020,3,Baja California Sur,0.43138569593429565
2022,3,Baja California Sur,0.4064585864543915
2010,4,Campeche,0.5139299631118774
2012,4,Campeche,0.5330178737640381
2014,4,Campeche,0.499935507774353
2016,4,Campeche,0.46047520637512207
2018,4,Campeche,0.4638148546218872
2020,4,Campeche,0.46822476387023926
2022,4,Campeche,0.4422490894794464
2010,7,Chiapas,0.5409126877784729
2012,7,Chiapas,0.534682035446167
2014,7,Chiapas,0.5171733498573303
2016,7,Chiapas,0.49561482667922974
2018,7,Chiapas,0.48476800322532654
2020,7,Chiapas,0.4694388210773468
2022,7,Chiapas,0.4667440950870514
2010,8,Chihuahua,0.4729249179363251
2012,8,Chihuahua,0.5003330111503601
2014,8,Chihuahua,0.45810261368751526
2016,8,Chihuahua,0.46595102548599243
2018,8,Chihuahua,0.4331817924976349
2020,8,Chihuahua,0.44208064675331116
2022,8,Chihuahua,0.43575042486190796
2010,9,Ciudad de México,0.5171777606010437
2012,9,Ciudad de México,0.45743528008461
2014,9,Ciudad de México,0.5072604417800903
2016,9,Ciudad de México,0.5002022385597229
2018,9,Ciudad de México,0.5257501602172852
2020,9,Ciudad de México,0.44677719473838806
2022,9,Ciudad de México,0.4633813500404358
2010,5,Coahuila de Zaragoza,0.4761132299900055
2012,5,Coahuila de Zaragoza,0.46358388662338257
