Entidad federativa,Unnamed: 1,Población de 15 años y más,Analfabetas,Lugar,%,Lugar.1,Sin primaria terminada,Lugar.2,%.1,Lugar.3,Sin secundaria terminada,Lugar.4,%.2,Lugar.5,Rezago total,Lugar.6,%.3,Lugar.7,Año
12,Guerrero,2593476.0,275914.0,6.0,10.638772057269858,2.0,266757.0,10.0,10.285693794737256,4.0,491539.0,12.0,18.952903362128666,5.0,1034210.0,10.0,39.87736921413578,3.0,2024
13,Hidalgo,2513321.0,141574.0,10.0,5.632945413657866,7.0,163257.0,17.0,6.4956684800707905,19.0,356936.0,15.0,14.20176730310215,19.0,661767.0,15.0,26.330381196830807,12.0,2024
14,Jalisco,6715732.0,174174.0,9.0,2.5935221953466874,21.0,529826.0,3.0,7.889326137493277,14.0,1143022.0,2.0,17.02006572031165,8.0,1847022.0,4.0,27.502914053151613,10.0,2024
15,México,13668734.0,351136.0,3.0,2.568899211880193,22.0,854938.0,1.0,6.254697764986868,22.0,2051333.0,1.0,15.007483502129752,14.0,3257407.0,1.0,23.83108047899681,22.0,2024
16,Michoacán de Ocampo,3674345.0,223562.0,8.0,6.0844041591086295,5.0,467570.0,5.0,12.725261237036806,1.0,800982.0,8.0,21.799313891319404,1.0,1492114.0,6.0,40.608979287464834,2.0,2024
17,Morelos,1590324.0,63004.0,19.0,3.9617084317409534,12.0,115896.0,21.0,7.2875715891856,16.0,230681.0,23.0,14.505283200152924,17.0,409581.0,23.0,25.75456322107948,16.0,2024
18,Nayarit,989410.0,38128.0,24.0,3.8536097270090255,14.0,82061.0,26.0,8.293932747799193,11.0,136262.0,29.0,13.772045966788287,24.0,256451.0,27.0,25.919588441596506,14.0,2024
19,Nuevo León,4856373.0,64082.0,18.0,1.31954444191169,30.0,207413.0,11.0,4.27094459177662,31.0,583691.0,10.0,12.01907267007703,30.0,855186.0,11.0,17.60956170376534,31.0,2024
20,Oaxaca,3169849.0,318164.0,4.0,10.037197355457627,3.0,294859.0,9.0,9.301988832906552,5.0,641615.0,9.0,20.241184990199848,3.0,1254638.0,9.0,39.58037117856403,4.0,2024
21,Puebla,5166033.0,308936.0,5.0,5.980139886833863,6.0,466363.0,6.0,9.02748782286137,6.0,987350.0,4.0,19.112344036516994,4.0,1762649.0,5.0,34.11997174621223,6.0,2024
22,Querétaro,2013996.0,59780.0,20.0,2.9682283380900456,18.0,94594.0,23.0,4.696831572654563,29.0,262088.0,21.0,13.01333269778093,28.0,416462.0,22.0,20.678392608525538,27.0,2024
23,Quintana Roo,1579077.0,42674.0,22.0,2.702464794307054,20.0,91659.0,24.0,5.80459344287834,23.0,184605.0,26.0,11.690690194335044,31.0,318938.0,26.0,20.197748431520438,28.0,2024
24,San Luis Potosí,2234366.0,87673.0,13.0,3.9238423785539163,13.0,151862.0,18.0,6.796648355730441,18.0,314271.0,18.0,14.065332179240105,21.0,553806.0,17.0,24.785822913524463,19.0,2024
25,Sinaloa,2438570.0,75514.0,15.0,3.0966509060638,16.0,202436.0,12.0,8.301422555022,10.0,351407.0,17.0,14.410371652238812,18.0,629357.0,16.0,25.808445113324613,15.0,2024
26,Sonora,2414988.0,34366.0,26.0,1.4230298452828751,29.0,134746.0,20.0,5.5795722380401065,26.0,305540.0,19.0,12.651822700568285,29.0,474652.0,19.0,19.654424783891265,29.0,2024
27,Tabasco,1840975.0,78072.0,14.0,4.240796317168892,11.0,148108.0,19.0,8.045084805605725,13.0,244261.0,22.0,13.268023737421746,26.0,470441.0,20.0,25.55390486019636,17.0,2024
28,Tamaulipas,2875485.0,65717.0,17.0,2.285423154702598,24.0,196460.0,13.0,6.832238735378554,17.0,432830.0,14.0,15.052417244395293,13.0,695007.0,14.0,24.170079134476445,21.0,2024
29,Tlaxcala,1070615.0,31450.0,28.0,2.9375639235392743,19.0,53518.0,30.0,4.998809095706673,28.0,167409.0,27.0,15.636713477767453,12.0,252377.0,28.0,23.5730864970134,23.0,2024
30,Veracruz de Ignacio de la Llave,6291017.0,476591.0,1.0,7.5757385491089915,4.0,751796.0,2.0,11.950309465067413,3.0,1121695.0,3.0,17.83010600670766,6.0,2350082.0,2.0,37.35615402088406,5.0,2024
31,Yucatán,1938136.0,103258.0,11.0,5.327696302013893,8.0,174494.0,16.0,9.003186566886948,7.0,272711.0,20.0,14.070787602108418,20.0,550463.0,18.0,28.401670471009258,9.0,2024
32,Zacatecas,1239086.0,38837.0,23.0,3.134326430933769,15.0,108186.0,22.0,8.731113094652025,8.0,211759.0,25.0,17.089935646113343,7.0,358782.0,24.0,28.95537517169914,8.0,2024
"* Información estimada con base en el Censo de Población y vivienda 2020, INEGI; Proyecciones de Población 2020-2070, CONAPO; Estadística del Sistema de indicadores educativos (septiembre 2024), SEP; logros del INEA. ",,,,,,,,,,,,,,,,,,,2024
"Las cifras están sujetas a modificación cada vez que exista un nuevo Censo, Conteo o Encuesta Intercensal, nueva estimación  y/o proyección de población del CONAPO o cambio en la metodología del cálculo del rezago educativo.",,,,,,,,,,,,,,,,,,,2024
