id_estado,estado,fecha,derhab,porc_analf,promedio_ed,derhab_imputado,porc_analf_imputado,promedio_ed_imputado
17,Morelos,2015,1269602.0,4.95519569719918,9.303000614025539,1,0,0
17,Morelos,2020,1416884.0,4.95519569719918,9.84478155712582,0,1,0
15,México,2000,5196837.0,6.4,8.0,0,0,0
15,México,2005,5936128.0,5.3,8.7,0,0,0
15,México,2010,8811664.0,4.38,9.1,0,0,0
15,México,2015,10039670.5,3.33707124315867,9.528067379259369,1,0,0
15,México,2020,11267677.0,3.33707124315867,10.0823980468445,0,1,0
18,Nayarit,2000,373087.0,9.0,7.3,0,0,0
18,Nayarit,2005,565790.0,8.0,8.0,0,0,0
18,Nayarit,2010,827831.0,6.31,8.61,0,0,0
18,Nayarit,2015,894197.0,5.03596014718021,9.15892146940172,1,0,0
18,Nayarit,2020,960563.0,5.03596014718021,9.72952373557258,0,1,0
19,Nuevo León,2000,2528052.0,3.3,8.8,0,0,0
19,Nuevo León,2005,2904194.0,2.8,9.5,0,0,0
19,Nuevo León,2010,3589417.0,2.2,9.81,0,0,0
19,Nuevo León,2015,4135441.0,1.62629068698064,10.2749558573754,1,0,0
19,Nuevo León,2020,4681465.0,1.62629068698064,10.7409594523138,0,1,0
20,Oaxaca,2000,778654.0,21.5,5.6,0,0,0
20,Oaxaca,2005,788688.0,19.3,6.4,0,0,0
20,Oaxaca,2010,2129000.0,16.27,6.94,0,0,0
20,Oaxaca,2015,2516851.5,13.3076061915446,7.51576301956816,1,0,0
20,Oaxaca,2020,2904703.0,13.3076061915446,8.118535997285969,0,1,0
21,Puebla,2000,1266386.0,14.6,6.7,0,0,0
21,Puebla,2005,1831171.0,12.7,7.4,0,0,0
21,Puebla,2010,2858894.0,10.38,7.95,0,0,0
21,Puebla,2015,3754938.0,8.31676746391996,8.49385434412069,1,0,0
21,Puebla,2020,4650982.0,8.31676746391996,9.160472082237021,0,1,0
22,Querétaro,2000,637813.0,9.8,7.6,0,0,0
22,Querétaro,2005,808068.0,8.1,8.3,0,0,0
22,Querétaro,2010,1351726.0,6.31,8.92,0,0,0
22,Querétaro,2015,1612443.0,4.53571775762054,9.55326026787634,1,0,0
